Supplementary Table - PANTHER functional overrepresentation analysis 




Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_all.lst (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S1_all.lst (4885)	S1_all.lst (expected)	S1_all.lst (over/under)	S1_all.lst (fold Enrichment)	S1_all.lst (P-value)
PANTHER GO-Slim Biological Process	S1_all.lst - REFLIST (4885)	S1_prd_motif.lst (675)	S1_prd_motif.lst (expected)	S1_prd_motif.lst (over/under)	S1_prd_motif.lst (fold Enrichment)	S1_prd_motif.lst (P-value)
gene expression (GO:0010467)	617	127	85.26	+	1.49	2.01E-02
macromolecule metabolic process (GO:0043170)	786	161	108.61	+	1.48	1.24E-03
organic substance metabolic process (GO:0071704)	962	196	132.93	+	1.47	6.49E-05
metabolic process (GO:0008152)	1123	221	155.17	+	1.42	6.30E-05
Unclassified (UNCLASSIFIED)	2124	255	293.49	-	.87	0.00E00
cell adhesion (GO:0007155)	134	3	18.52	-	.16	4.29E-02
biological adhesion (GO:0022610)	134	3	18.52	-	.16	4.29E-02





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S1_prd_motif.lst (Homo sapiens)
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	163
PANTHER Protein Class	S1_all.lst - REFLIST (4885)	S1_prd_motif.lst (675)	S1_prd_motif.lst (expected)	S1_prd_motif.lst (over/under)	S1_prd_motif.lst (fold Enrichment)	S1_prd_motif.lst (P-value)
transferase (PC00220)	237	59	32.75	+	1.80	1.22E-02
nucleic acid binding (PC00171)	481	105	66.46	+	1.58	2.76E-03
Unclassified (UNCLASSIFIED)	2690	316	371.70	-	.85	0.00E00
extracellular matrix protein (PC00102)	98	1	13.54	-	.07	1.08E-02





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin.lst (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S2_humlin.lst (1665)	S2_humlin.lst (expected)	S2_humlin.lst (over/under)	S2_humlin.lst (fold Enrichment)	S2_humlin.lst (P-value)
spindle assembly (GO:0051225)	35	14	2.78	+	5.04	1.07E-02
spindle organization (GO:0007051)	38	14	3.01	+	4.65	2.28E-02
regulation of RNA metabolic process (GO:0051252)	85	22	6.74	+	3.26	1.28E-02
RNA splicing (GO:0008380)	176	39	13.96	+	2.79	2.90E-04
mRNA splicing, via spliceosome (GO:0000398)	164	36	13.01	+	2.77	1.01E-03
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	164	36	13.01	+	2.77	1.01E-03
RNA processing (GO:0006396)	233	51	18.48	+	2.76	3.84E-06
RNA splicing, via transesterification reactions (GO:0000375)	165	36	13.08	+	2.75	1.08E-03
proteasomal protein catabolic process (GO:0010498)	153	33	12.13	+	2.72	3.78E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	142	29	11.26	+	2.58	3.13E-02
protein ubiquitination (GO:0016567)	200	40	15.86	+	2.52	1.61E-03
protein modification by small protein conjugation or removal (GO:0070647)	217	41	17.21	+	2.38	4.25E-03
protein modification by small protein conjugation (GO:0032446)	217	41	17.21	+	2.38	4.25E-03
regulation of nucleobase-containing compound metabolic process (GO:0019219)	180	34	14.27	+	2.38	2.60E-02
proteolysis involved in cellular protein catabolic process (GO:0051603)	253	44	20.06	+	2.19	1.26E-02
cellular protein catabolic process (GO:0044257)	255	44	20.22	+	2.18	1.41E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	260	44	20.62	+	2.13	2.68E-02
regulation of cellular biosynthetic process (GO:0031326)	752	121	59.63	+	2.03	1.77E-08
regulation of biosynthetic process (GO:0009889)	753	121	59.71	+	2.03	1.81E-08
regulation of transcription by RNA polymerase II (GO:0006357)	651	104	51.62	+	2.01	5.92E-07
regulation of transcription, DNA-templated (GO:0006355)	687	109	54.48	+	2.00	4.05E-07
regulation of nucleic acid-templated transcription (GO:1903506)	687	109	54.48	+	2.00	4.05E-07
regulation of RNA biosynthetic process (GO:2001141)	740	117	58.68	+	1.99	8.02E-08
regulation of metabolic process (GO:0019222)	1347	204	106.82	+	1.91	1.32E-13
gene expression (GO:0010467)	1842	278	146.07	+	1.90	1.27E-19
macromolecule metabolic process (GO:0043170)	2419	351	191.83	+	1.83	3.65E-23
transcription, DNA-templated (GO:0006351)	1251	181	99.21	+	1.82	4.37E-10
transcription by RNA polymerase II (GO:0006366)	1011	145	80.17	+	1.81	1.98E-07
organic substance metabolic process (GO:0071704)	3338	409	264.71	+	1.55	4.07E-15
regulation of biological process (GO:0050789)	2673	312	211.97	+	1.47	4.19E-08
biological regulation (GO:0065007)	3089	354	244.96	+	1.45	9.37E-09
metabolic process (GO:0008152)	4072	448	322.91	+	1.39	1.48E-09
Unclassified (UNCLASSIFIED)	10588	721	839.64	-	.86	0.00E00
immune response (GO:0006955)	350	6	27.76	-	.22	3.99E-03
sensory perception of chemical stimulus (GO:0007606)	224	2	17.76	-	.11	1.30E-02





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin.lst (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	891
PANTHER GO-Slim Biological Process	S1_all.lst - REFLIST (4885)	S2_humlin.lst (1665)	S2_humlin.lst (expected)	S2_humlin.lst (over/under)	S2_humlin.lst (fold Enrichment)	S2_humlin.lst (P-value)
gene expression (GO:0010467)	617	278	210.30	+	1.32	3.76E-02
macromolecule metabolic process (GO:0043170)	786	351	267.90	+	1.31	4.25E-03
organic substance metabolic process (GO:0071704)	962	409	327.89	+	1.25	2.91E-02
Unclassified (UNCLASSIFIED)	2124	721	723.94	-	1.00	0.00E00





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin.lst (Homo sapiens)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	163
PANTHER Protein Class	S1_all.lst - REFLIST (4885)	S2_humlin.lst (1665)	S2_humlin.lst (expected)	S2_humlin.lst (over/under)	S2_humlin.lst (fold Enrichment)	S2_humlin.lst (P-value)
transcription factor (PC00218)	353	174	120.32	+	1.45	7.43E-03
Unclassified (UNCLASSIFIED)	2690	895	916.86	-	.98	0.00E00





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin_prd.lst (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	1455
PANTHER GO-Slim Biological Process	Homo sapiens - REFLIST (20996)	S2_humlin_prd.lst (830)	S2_humlin_prd.lst (expected)	S2_humlin_prd.lst (over/under)	S2_humlin_prd.lst (fold Enrichment)	S2_humlin_prd.lst (P-value)
extracellular matrix organization (GO:0030198)	69	14	2.73	+	5.13	3.99E-03
extracellular structure organization (GO:0043062)	72	14	2.85	+	4.92	6.16E-03
proteasomal protein catabolic process (GO:0010498)	153	20	6.05	+	3.31	1.46E-02
RNA splicing (GO:0008380)	176	23	6.96	+	3.31	3.24E-03
RNA processing (GO:0006396)	233	30	9.21	+	3.26	1.30E-04
mRNA splicing, via spliceosome (GO:0000398)	164	21	6.48	+	3.24	1.18E-02
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	164	21	6.48	+	3.24	1.18E-02
RNA splicing, via transesterification reactions (GO:0000375)	165	21	6.52	+	3.22	1.28E-02
protein ubiquitination (GO:0016567)	200	24	7.91	+	3.04	7.48E-03
protein modification by small protein conjugation or removal (GO:0070647)	217	25	8.58	+	2.91	9.16E-03
protein modification by small protein conjugation (GO:0032446)	217	25	8.58	+	2.91	9.16E-03
proteolysis involved in cellular protein catabolic process (GO:0051603)	253	26	10.00	+	2.60	3.76E-02
regulation of transcription, DNA-templated (GO:0006355)	687	57	27.16	+	2.10	9.93E-04
regulation of nucleic acid-templated transcription (GO:1903506)	687	57	27.16	+	2.10	9.93E-04
regulation of transcription by RNA polymerase II (GO:0006357)	651	54	25.73	+	2.10	1.56E-03
regulation of cellular biosynthetic process (GO:0031326)	752	62	29.73	+	2.09	2.81E-04
regulation of RNA biosynthetic process (GO:2001141)	740	61	29.25	+	2.09	3.66E-04
regulation of metabolic process (GO:0019222)	1347	111	53.25	+	2.08	2.38E-09
regulation of biosynthetic process (GO:0009889)	753	62	29.77	+	2.08	4.24E-04
gene expression (GO:0010467)	1842	143	72.82	+	1.96	6.33E-11
macromolecule metabolic process (GO:0043170)	2419	183	95.63	+	1.91	8.34E-14
transcription by RNA polymerase II (GO:0006366)	1011	72	39.97	+	1.80	5.91E-03
transcription, DNA-templated (GO:0006351)	1251	89	49.45	+	1.80	4.02E-04
organic substance metabolic process (GO:0071704)	3338	217	131.96	+	1.64	2.91E-10
metabolic process (GO:0008152)	4072	238	160.97	+	1.48	4.34E-07
regulation of biological process (GO:0050789)	2673	153	105.67	+	1.45	7.74E-03
biological regulation (GO:0065007)	3089	169	122.11	+	1.38	2.67E-02
Unclassified (UNCLASSIFIED)	10588	372	418.56	-	.89	0.00E00
immune response (GO:0006955)	350	1	13.84	-	.07	4.34E-02





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin_prd.lst (Homo sapiens)
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	163
PANTHER Protein Class	S1_all.lst - REFLIST (4885)	S2_humlin_prd.lst (830)	S2_humlin_prd.lst (expected)	S2_humlin_prd.lst (over/under)	S2_humlin_prd.lst (fold Enrichment)	S2_humlin_prd.lst (P-value)
transcription factor (PC00218)	353	93	59.98	+	1.55	2.44E-02
Unclassified (UNCLASSIFIED)	2690	451	457.05	-	.99	0.00E00





Analysis Type:	PANTHER Overrepresentation Test (Released 20190711)
Annotation Version and Release Date:	PANTHER version 14.1 Released 2019-03-12
Analyzed List:	S2_humlin_prd.lst (Homo sapiens)
Reference List:	S1_all.lst (Homo sapiens)
Test Type:	FISHER
Correction:	BONFERRONI
Bonferroni count:	891
PANTHER GO-Slim Biological Process	S1_all.lst - REFLIST (4885)	S2_humlin_prd.lst (830)	S2_humlin_prd.lst (expected)	S2_humlin_prd.lst (over/under)	S2_humlin_prd.lst (fold Enrichment)	S2_humlin_prd.lst (P-value)
macromolecule metabolic process (GO:0043170)	786	183	133.55	+	1.37	3.51E-02
organic substance metabolic process (GO:0071704)	962	217	163.45	+	1.33	3.14E-02
Unclassified (UNCLASSIFIED)	2124	372	360.88	+	1.03	0.00E00
