prot_id	transcript_id	gene_id	gene_name	description	source	selected
ENSP00000361524	ENST00000372447	ENSG00000136819	C9orf78	chromosome 9 open reading frame 78	HGNC Symbol;Acc:24932	1
ENSP00000319817	ENST00000323060	ENSG00000125741	OPA3	optic atrophy 3 (autosomal recessive, with chorea and spastic paraplegia)	HGNC Symbol;Acc:8142	1
ENSP00000348901	ENST00000356508	ENSG00000105223	PLD3	phospholipase D family, member 3	HGNC Symbol;Acc:17158	1
ENSP00000438677	ENST00000540372	ENSG00000166428	PLD4	phospholipase D family, member 4	HGNC Symbol;Acc:23792	1
ENSP00000219431	ENST00000219431	ENSG00000103152	MPG	N-methylpurine-DNA glycosylase	HGNC Symbol;Acc:7211	1
ENSP00000436068	ENST00000529249	ENSG00000115592	PRKAG3	protein kinase, AMP-activated, gamma 3 non-catalytic subunit	HGNC Symbol;Acc:9387	1
ENSP00000290418	ENST00000290418	ENSG00000135637	CCDC142	coiled-coil domain containing 142	HGNC Symbol;Acc:25889	1
ENSP00000230301	ENST00000230301	ENSG00000112539	C6orf118	chromosome 6 open reading frame 118	HGNC Symbol;Acc:21233	1
ENSP00000218364	ENST00000218364	ENSG00000102241	HTATSF1	HIV-1 Tat specific factor 1	HGNC Symbol;Acc:5276	1
ENSP00000449137	ENST00000548523	ENSG00000188032	C19orf67	chromosome 19 open reading frame 67	HGNC Symbol;Acc:34354	1
ENSP00000245923	ENST00000245923	ENSG00000125744	RTN2	reticulon 2	HGNC Symbol;Acc:10468	1
ENSP00000381220	ENST00000398153	ENSG00000111906	HDDC2	HD domain containing 2	HGNC Symbol;Acc:21078	1
ENSP00000262320	ENST00000262320	ENSG00000103126	AXIN1	axin 1	HGNC Symbol;Acc:903	1
ENSP00000414066	ENST00000432641	ENSG00000196636	ACN9	ACN9 homolog (S. cerevisiae)	HGNC Symbol;Acc:21752	1
ENSP00000363021	ENST00000373912	ENSG00000117748	RPA2	replication protein A2, 32kDa	HGNC Symbol;Acc:10290	1
ENSP00000362131	ENST00000373040	ENSG00000204086	RPA4	replication protein A4, 30kDa	HGNC Symbol;Acc:30305	1
ENSP00000356537	ENST00000331872	ENSG00000135821	GLUL	glutamate-ammonia ligase	HGNC Symbol;Acc:4341	1
ENSP00000385025	ENST00000406438	ENSG00000176994	SMCR8	Smith-Magenis syndrome chromosome region, candidate 8	HGNC Symbol;Acc:17921	1
ENSP00000355785	ENST00000366820	ENSG00000143768	LEFTY2	left-right determination factor 2	HGNC Symbol;Acc:3122	1
ENSP00000272134	ENST00000272134	ENSG00000243709	LEFTY1	left-right determination factor 1	HGNC Symbol;Acc:6552	1
ENSP00000317992	ENST00000327044	ENSG00000188976	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)	HGNC Symbol;Acc:24517	1
ENSP00000278353	ENST00000278353	ENSG00000149084	HSD17B12	hydroxysteroid (17-beta) dehydrogenase 12	HGNC Symbol;Acc:18646	1
ENSP00000356903	ENST00000367926	ENSG00000117143	UAP1	UDP-N-acteylglucosamine pyrophosphorylase 1	HGNC Symbol;Acc:12457	1
ENSP00000386935	ENST00000409858	ENSG00000197355	UAP1L1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1	HGNC Symbol;Acc:28082	1
ENSP00000264852	ENST00000264852	ENSG00000072858	SIDT1	SID1 transmembrane family, member 1	HGNC Symbol;Acc:25967	1
ENSP00000314023	ENST00000324225	ENSG00000149577	SIDT2	SID1 transmembrane family, member 2	HGNC Symbol;Acc:24272	1
ENSP00000386181	ENST00000408939	ENSG00000196659	TTC30B	tetratricopeptide repeat domain 30B	HGNC Symbol;Acc:26425	1
ENSP00000347915	ENST00000355689	ENSG00000197557	TTC30A	tetratricopeptide repeat domain 30A	HGNC Symbol;Acc:25853	1
ENSP00000296102	ENST00000296102	ENSG00000243147	MRPL33	mitochondrial ribosomal protein L33	HGNC Symbol;Acc:14487	1
ENSP00000326424	ENST00000319023	ENSG00000172890	NADSYN1	NAD synthetase 1	HGNC Symbol;Acc:29832	1
ENSP00000439926	ENST00000539954	ENSG00000058799	YIPF1	Yip1 domain family, member 1	HGNC Symbol;Acc:25231	1
ENSP00000253031	ENST00000253031	ENSG00000130733	YIPF2	Yip1 domain family, member 2	HGNC Symbol;Acc:28476	1
ENSP00000397219	ENST00000431639	ENSG00000141499	WRAP53	WD repeat containing, antisense to TP53	HGNC Symbol;Acc:25522	1
ENSP00000382595	ENST00000399688	ENSG00000128050	PAICS	phosphoribosylaminoimidazole carboxylase, phosphoribosylaminoimidazole succinocarboxamide synthetase	HGNC Symbol;Acc:8587	1
ENSP00000434154	ENST00000527818	ENSG00000255537	AP000708.1			1
ENSP00000322570	ENST00000320574	ENSG00000177084	POLE	polymerase (DNA directed), epsilon, catalytic subunit	HGNC Symbol;Acc:9177	1
ENSP00000231749	ENST00000231749	ENSG00000004838	ZMYND10	zinc finger, MYND-type containing 10	HGNC Symbol;Acc:19412	1
ENSP00000296129	ENST00000296129	ENSG00000163814	CDCP1	CUB domain containing protein 1	HGNC Symbol;Acc:24357	1
ENSP00000216214	ENST00000216214	ENSG00000100376	FAM118A	family with sequence similarity 118, member A	HGNC Symbol;Acc:1313	1
ENSP00000333401	ENST00000333130	ENSG00000185608	MRPL40	mitochondrial ribosomal protein L40	HGNC Symbol;Acc:14491	1
ENSP00000267103	ENST00000267103	ENSG00000139637	C12orf10	chromosome 12 open reading frame 10	HGNC Symbol;Acc:17590	1
ENSP00000250018	ENST00000250018	ENSG00000129167	TPH1	tryptophan hydroxylase 1	HGNC Symbol;Acc:12008	1
ENSP00000448059	ENST00000553106	ENSG00000171759	PAH	phenylalanine hydroxylase	HGNC Symbol;Acc:8582	1
ENSP00000222115	ENST00000222115	ENSG00000105509	HAS1	hyaluronan synthase 1	HGNC Symbol;Acc:4818	1
ENSP00000281031	ENST00000281031	ENSG00000151366	NDUFC2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2, 14.5kDa	HGNC Symbol;Acc:7706	1
ENSP00000297145	ENST00000297145	ENSG00000164603	C7orf60	chromosome 7 open reading frame 60	HGNC Symbol;Acc:26475	1
ENSP00000384886	ENST00000407280	ENSG00000216490	IFI30	interferon, gamma-inducible protein 30	HGNC Symbol;Acc:5398	1
ENSP00000290401	ENST00000345330	ENSG00000156642	NPTN	neuroplastin	HGNC Symbol;Acc:17867	1
ENSP00000365426	ENST00000376250	ENSG00000134864	A2LD1	AIG2-like domain 1	HGNC Symbol;Acc:25100	1
ENSP00000307129	ENST00000304519	ENSG00000171060	C8orf74	chromosome 8 open reading frame 74	HGNC Symbol;Acc:32296	1
ENSP00000259873	ENST00000259873	ENSG00000204568	MRPS18B	mitochondrial ribosomal protein S18B	HGNC Symbol;Acc:14516	1
ENSP00000454264	ENST00000568733	ENSG00000013374	NUB1	negative regulator of ubiquitin-like proteins 1	HGNC Symbol;Acc:17623	1
ENSP00000376154	ENST00000392343	ENSG00000176155	CCDC57	coiled-coil domain containing 57	HGNC Symbol;Acc:27564	1
ENSP00000331647	ENST00000333834	ENSG00000182909	LENG9	leukocyte receptor cluster (LRC) member 9	HGNC Symbol;Acc:16306	1
ENSP00000351363	ENST00000358559	ENSG00000138294	MSMB	microseminoprotein, beta-	HGNC Symbol;Acc:7372	1
ENSP00000263593	ENST00000263593	ENSG00000110013	SIAE	sialic acid acetylesterase	HGNC Symbol;Acc:18187	1
ENSP00000322450	ENST00000322776	ENSG00000167792	NDUFV1	NADH dehydrogenase (ubiquinone) flavoprotein 1, 51kDa	HGNC Symbol;Acc:7716	1
ENSP00000357622	ENST00000368633	ENSG00000160741	CRTC2	CREB regulated transcription coactivator 2	HGNC Symbol;Acc:27301	1
ENSP00000345001	ENST00000338797	ENSG00000105662	CRTC1	CREB regulated transcription coactivator 1	HGNC Symbol;Acc:16062	1
ENSP00000225519	ENST00000225519	ENSG00000197417	SHPK	sedoheptulokinase	HGNC Symbol;Acc:1492	1
ENSP00000235090	ENST00000235090	ENSG00000116455	WDR77	WD repeat domain 77	HGNC Symbol;Acc:29652	1
ENSP00000313309	ENST00000313777	ENSG00000010361	FUZ	fuzzy homolog (Drosophila)	HGNC Symbol;Acc:26219	1
ENSP00000360515	ENST00000371460	ENSG00000196284	SUPT3H	suppressor of Ty 3 homolog (S. cerevisiae)	HGNC Symbol;Acc:11466	1
ENSP00000344779	ENST00000341329	ENSG00000144468	RHBDD1	rhomboid domain containing 1	HGNC Symbol;Acc:23081	1
ENSP00000356791	ENST00000367817	ENSG00000143196	DPT	dermatopontin	HGNC Symbol;Acc:3011	1
ENSP00000216442	ENST00000216442	ENSG00000100554	ATP6V1D	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D	HGNC Symbol;Acc:13527	1
ENSP00000269601	ENST00000269601	ENSG00000141759	TXNL4A	thioredoxin-like 4A	HGNC Symbol;Acc:30551	1
ENSP00000005279	ENST00000346661	ENSG00000006114	SYNRG	synergin, gamma	HGNC Symbol;Acc:557	1
ENSP00000375730	ENST00000391857	ENSG00000142541	RPL13A	ribosomal protein L13a	HGNC Symbol;Acc:10304	1
ENSP00000364476	ENST00000375327	ENSG00000158423	RIBC1	RIB43A domain with coiled-coils 1	HGNC Symbol;Acc:26537	1
ENSP00000373575	ENST00000388923	ENSG00000203872	C6orf163	chromosome 6 open reading frame 163	HGNC Symbol;Acc:21403	1
ENSP00000230449	ENST00000230449	ENSG00000112685	EXOC2	exocyst complex component 2	HGNC Symbol;Acc:24968	1
ENSP00000360327	ENST00000371279	ENSG00000162396	PARS2	prolyl-tRNA synthetase 2, mitochondrial (putative)	HGNC Symbol;Acc:30563	1
ENSP00000365529	ENST00000376351	ENSG00000151025	GPR158	G protein-coupled receptor 158	HGNC Symbol;Acc:23689	1
ENSP00000261778	ENST00000261778	ENSG00000103047	TMCO7	transmembrane and coiled-coil domains 7	HGNC Symbol;Acc:25749	1
ENSP00000457733	ENST00000565488	ENSG00000085491	SLC25A24	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 24	HGNC Symbol;Acc:20662	1
ENSP00000264088	ENST00000264088	ENSG00000125648	SLC25A23	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	HGNC Symbol;Acc:19375	1
ENSP00000253669	ENST00000253669	ENSG00000131351	HAUS8	HAUS augmin-like complex, subunit 8	HGNC Symbol;Acc:30532	1
ENSP00000294072	ENST00000294072	ENSG00000162144	CYBASC3	cytochrome b, ascorbate dependent 3	HGNC Symbol;Acc:23014	1
ENSP00000442773	ENST00000542042	ENSG00000008283	CYB561	cytochrome b-561	HGNC Symbol;Acc:2571	1
ENSP00000367343	ENST00000378103	ENSG00000070610	GBA2	glucosidase, beta (bile acid) 2	HGNC Symbol;Acc:18986	1
ENSP00000331692	ENST00000332135	ENSG00000170616	SCRT1	scratch homolog 1, zinc finger protein (Drosophila)	HGNC Symbol;Acc:15950	1
ENSP00000355865	ENST00000366898	ENSG00000185345	PARK2	parkinson protein 2, E3 ubiquitin protein ligase (parkin)	HGNC Symbol;Acc:8607	1
ENSP00000376250	ENST00000392456	ENSG00000152492	CCDC50	coiled-coil domain containing 50	HGNC Symbol;Acc:18111	1
ENSP00000265523	ENST00000265523	ENSG00000106605	BLVRA	biliverdin reductase A	HGNC Symbol;Acc:1062	1
ENSP00000210444	ENST00000210444	ENSG00000095380	NANS	N-acetylneuraminic acid synthase	HGNC Symbol;Acc:19237	1
ENSP00000388543	ENST00000419343	ENSG00000105185	PDCD5	programmed cell death 5	HGNC Symbol;Acc:8764	1
ENSP00000328938	ENST00000327898	ENSG00000183077	AFMID	arylformamidase	HGNC Symbol;Acc:20910	1
ENSP00000316121	ENST00000327331	ENSG00000134690	CDCA8	cell division cycle associated 8	HGNC Symbol;Acc:14629	1
ENSP00000318016	ENST00000318410	ENSG00000164961	KIAA0196	KIAA0196	HGNC Symbol;Acc:28984	1
ENSP00000355022	ENST00000361837	ENSG00000162062	C16orf59	chromosome 16 open reading frame 59	HGNC Symbol;Acc:25849	1
ENSP00000361001	ENST00000371933	ENSG00000159658	KIAA0494	KIAA0494	HGNC Symbol;Acc:29051	1
ENSP00000258455	ENST00000258455	ENSG00000135972	MRPS9	mitochondrial ribosomal protein S9	HGNC Symbol;Acc:14501	1
ENSP00000387654	ENST00000433351	ENSG00000116005	PCYOX1	prenylcysteine oxidase 1	HGNC Symbol;Acc:20588	1
ENSP00000274569	ENST00000274569	ENSG00000145882	PCYOX1L	prenylcysteine oxidase 1 like	HGNC Symbol;Acc:28477	1
ENSP00000258955	ENST00000258955	ENSG00000136444	RSAD1	radical S-adenosyl methionine domain containing 1	HGNC Symbol;Acc:25634	1
ENSP00000369291	ENST00000379957	ENSG00000165046	LETM2	leucine zipper-EF-hand containing transmembrane protein 2	HGNC Symbol;Acc:14648	1
ENSP00000419124	ENST00000474531	ENSG00000168309	FAM107A	family with sequence similarity 107, member A	HGNC Symbol;Acc:30827	1
ENSP00000379997	ENST00000396776	ENSG00000175857	GAPT	GRB2-binding adaptor protein, transmembrane	HGNC Symbol;Acc:26588	1
ENSP00000433681	ENST00000534548	ENSG00000151503	NCAPD3	non-SMC condensin II complex, subunit D3	HGNC Symbol;Acc:28952	1
ENSP00000355900	ENST00000366933	ENSG00000162814	SPATA17	spermatogenesis associated 17	HGNC Symbol;Acc:25184	1
ENSP00000358999	ENST00000369982	ENSG00000177854	TMEM187	transmembrane protein 187	HGNC Symbol;Acc:13705	1
ENSP00000387219	ENST00000410022	ENSG00000169599	NFU1	NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae)	HGNC Symbol;Acc:16287	1
ENSP00000402038	ENST00000415954	ENSG00000135297	MTO1	mitochondrial translation optimization 1 homolog (S. cerevisiae)	HGNC Symbol;Acc:19261	1
ENSP00000373640	ENST00000388988	ENSG00000188266	AGPHD1	aminoglycoside phosphotransferase domain containing 1	HGNC Symbol;Acc:34403	1
ENSP00000400815	ENST00000438132	ENSG00000103544	C16orf62	chromosome 16 open reading frame 62	HGNC Symbol;Acc:24641	1
ENSP00000244230	ENST00000244230	ENSG00000124383	MPHOSPH10	M-phase phosphoprotein 10 (U3 small nucleolar ribonucleoprotein)	HGNC Symbol;Acc:7213	1
ENSP00000381173	ENST00000398101	ENSG00000074416	MGLL	monoglyceride lipase	HGNC Symbol;Acc:17038	1
ENSP00000308699	ENST00000311457	ENSG00000100918	REC8	REC8 homolog (yeast)	HGNC Symbol;Acc:16879	1
ENSP00000374221	ENST00000389570	ENSG00000188878	FBF1	Fas (TNFRSF6) binding factor 1	HGNC Symbol;Acc:24674	1
ENSP00000376732	ENST00000393008	ENSG00000090263	MRPS33	mitochondrial ribosomal protein S33	HGNC Symbol;Acc:16634	1
ENSP00000427679	ENST00000511045	ENSG00000138823	MTTP	microsomal triglyceride transfer protein	HGNC Symbol;Acc:7467	1
ENSP00000377914	ENST00000394391	ENSG00000005194	CIAPIN1	cytokine induced apoptosis inhibitor 1	HGNC Symbol;Acc:28050	1
ENSP00000398536	ENST00000425847	ENSG00000114686	MRPL3	mitochondrial ribosomal protein L3	HGNC Symbol;Acc:10379	1
ENSP00000386597	ENST00000409993	ENSG00000172269	DPAGT1	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)	HGNC Symbol;Acc:2995	1
ENSP00000384211	ENST00000404125	ENSG00000068878	PSME4	proteasome (prosome, macropain) activator subunit 4	HGNC Symbol;Acc:20635	1
ENSP00000276704	ENST00000276704	ENSG00000189376	C8orf76	chromosome 8 open reading frame 76	HGNC Symbol;Acc:25924	1
ENSP00000337623	ENST00000336617	ENSG00000136104	RNASEH2B	ribonuclease H2, subunit B	HGNC Symbol;Acc:25671	1
ENSP00000348944	ENST00000356545	ENSG00000169218	RSPO1	R-spondin 1	HGNC Symbol;Acc:21679	1
ENSP00000376308	ENST00000392523	ENSG00000185347	C14orf80	chromosome 14 open reading frame 80	HGNC Symbol;Acc:20127	1
ENSP00000337313	ENST00000336229	ENSG00000033030	ZCCHC8	zinc finger, CCHC domain containing 8	HGNC Symbol;Acc:25265	1
ENSP00000358019	ENST00000369023	ENSG00000107672	NSMCE4A	non-SMC element 4 homolog A (S. cerevisiae)	HGNC Symbol;Acc:25935	1
ENSP00000435619	ENST00000527879	ENSG00000255150	EID3	EP300 interacting inhibitor of differentiation 3	HGNC Symbol;Acc:32961	1
ENSP00000367952	ENST00000378681	ENSG00000165623	UCMA	upper zone of growth plate and cartilage matrix associated	HGNC Symbol;Acc:25205	1
ENSP00000315379	ENST00000324862	ENSG00000117360	PRPF3	PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)	HGNC Symbol;Acc:17348	1
ENSP00000291691	ENST00000291691	ENSG00000160298	C21orf58	chromosome 21 open reading frame 58	HGNC Symbol;Acc:1300	1
ENSP00000285814	ENST00000285814	ENSG00000155438	MKI67IP	MKI67 (FHA domain) interacting nucleolar phosphoprotein	HGNC Symbol;Acc:17838	1
ENSP00000364840	ENST00000375688	ENSG00000204396	VWA7	von Willebrand factor A domain containing 7	HGNC Symbol;Acc:13939	1
ENSP00000261396	ENST00000261396	ENSG00000069248	NUP133	nucleoporin 133kDa	HGNC Symbol;Acc:18016	1
ENSP00000374125	ENST00000389474	ENSG00000197046	SIGLEC15	sialic acid binding Ig-like lectin 15	HGNC Symbol;Acc:27596	1
ENSP00000363161	ENST00000374049	ENSG00000157693	C9orf91	chromosome 9 open reading frame 91	HGNC Symbol;Acc:24513	1
ENSP00000337180	ENST00000337198	ENSG00000155096	AZIN1	antizyme inhibitor 1	HGNC Symbol;Acc:16432	1
ENSP00000348762	ENST00000356396	ENSG00000160285	LSS	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	HGNC Symbol;Acc:6708	1
ENSP00000362121	ENST00000373030	ENSG00000101052	IFT52	intraflagellar transport 52 homolog (Chlamydomonas)	HGNC Symbol;Acc:15901	1
ENSP00000373674	ENST00000389022	ENSG00000205309	NT5M	5',3'-nucleotidase, mitochondrial	HGNC Symbol;Acc:15769	1
ENSP00000245552	ENST00000245552	ENSG00000125458	NT5C	5', 3'-nucleotidase, cytosolic	HGNC Symbol;Acc:17144	1
ENSP00000003583	ENST00000003583	ENSG00000001460	C1orf201	chromosome 1 open reading frame 201	HGNC Symbol;Acc:28070	1
ENSP00000386414	ENST00000409241	ENSG00000244588	RAD21L1	RAD21-like 1 (S. pombe)	HGNC Symbol;Acc:16271	1
ENSP00000379895	ENST00000396659	ENSG00000171766	GATM	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	HGNC Symbol;Acc:4175	1
ENSP00000270279	ENST00000270279	ENSG00000142273	CBLC	Cbl proto-oncogene, E3 ubiquitin protein ligase C	HGNC Symbol;Acc:15961	1
ENSP00000285116	ENST00000285116	ENSG00000154839	SKA1	spindle and kinetochore associated complex subunit 1	HGNC Symbol;Acc:28109	1
ENSP00000369335	ENST00000379999	ENSG00000134452	FBXO18	F-box protein, helicase, 18	HGNC Symbol;Acc:13620	1
ENSP00000300648	ENST00000300648	ENSG00000089154	GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	HGNC Symbol;Acc:4199	1
ENSP00000359607	ENST00000370575	ENSG00000119943	PYROXD2	pyridine nucleotide-disulphide oxidoreductase domain 2	HGNC Symbol;Acc:23517	1
ENSP00000331363	ENST00000328759	ENSG00000185453	C19orf68	chromosome 19 open reading frame 68	HGNC Symbol;Acc:34495	1
ENSP00000231198	ENST00000231198	ENSG00000113272	THG1L	tRNA-histidine guanylyltransferase 1-like (S. cerevisiae)	HGNC Symbol;Acc:26053	1
ENSP00000368664	ENST00000379359	ENSG00000102760	RGCC	regulator of cell cycle	HGNC Symbol;Acc:20369	1
ENSP00000355961	ENST00000366994	ENSG00000143493	INTS7	integrator complex subunit 7	HGNC Symbol;Acc:24484	1
ENSP00000354152	ENST00000360900	ENSG00000103248	MTHFSD	methenyltetrahydrofolate synthetase domain containing	HGNC Symbol;Acc:25778	1
ENSP00000296149	ENST00000296149	ENSG00000163832	C3orf75	chromosome 3 open reading frame 75	HGNC Symbol;Acc:25976	1
ENSP00000221576	ENST00000221576	ENSG00000104979	C19orf53	chromosome 19 open reading frame 53	HGNC Symbol;Acc:24991	1
ENSP00000376056	ENST00000392222	ENSG00000114942	EEF1B2	eukaryotic translation elongation factor 1 beta 2	HGNC Symbol;Acc:3208	1
ENSP00000391944	ENST00000442189	ENSG00000104529	EEF1D	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)	HGNC Symbol;Acc:3211	1
ENSP00000312652	ENST00000308868	ENSG00000174697	LEP	leptin	HGNC Symbol;Acc:6553	1
ENSP00000358955	ENST00000369939	ENSG00000116299	KIAA1324	KIAA1324	HGNC Symbol;Acc:29618	1
ENSP00000406961	ENST00000423294	ENSG00000164659	KIAA1324L	KIAA1324-like	HGNC Symbol;Acc:21945	1
ENSP00000392353	ENST00000419065	ENSG00000180822	PSMG4	proteasome (prosome, macropain) assembly chaperone 4	HGNC Symbol;Acc:21108	1
ENSP00000339145	ENST00000340648	ENSG00000160208	RRP1B	ribosomal RNA processing 1 homolog B (S. cerevisiae)	HGNC Symbol;Acc:23818	1
ENSP00000417464	ENST00000497547	ENSG00000160214	RRP1	ribosomal RNA processing 1 homolog (S. cerevisiae)	HGNC Symbol;Acc:18785	1
ENSP00000360124	ENST00000371083	ENSG00000079739	PGM1	phosphoglucomutase 1	HGNC Symbol;Acc:8905	1
ENSP00000362187	ENST00000373095	ENSG00000167106	FAM102A	family with sequence similarity 102, member A	HGNC Symbol;Acc:31419	1
ENSP00000312066	ENST00000307877	ENSG00000167881	SRP68	signal recognition particle 68kDa	HGNC Symbol;Acc:11302	1
ENSP00000228510	ENST00000228510	ENSG00000110921	MVK	mevalonate kinase	HGNC Symbol;Acc:7530	1
ENSP00000361219	ENST00000372146	ENSG00000125484	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	HGNC Symbol;Acc:4667	1
ENSP00000274813	ENST00000274813	ENSG00000146085	MUT	methylmalonyl CoA mutase	HGNC Symbol;Acc:7526	1
ENSP00000243706	ENST00000243706	ENSG00000214367	HAUS3	HAUS augmin-like complex, subunit 3	HGNC Symbol;Acc:28719	1
ENSP00000385452	ENST00000402394	ENSG00000138028	CGREF1	cell growth regulator with EF-hand domain 1	HGNC Symbol;Acc:16962	1
ENSP00000367098	ENST00000377867	ENSG00000146926	ASB10	ankyrin repeat and SOCS box containing 10	HGNC Symbol;Acc:17185	1
ENSP00000293414	ENST00000293414	ENSG00000161664	ASB16	ankyrin repeat and SOCS box containing 16	HGNC Symbol;Acc:19768	1
ENSP00000321388	ENST00000325885	ENSG00000005981	ASB4	ankyrin repeat and SOCS box containing 4	HGNC Symbol;Acc:16009	1
ENSP00000415528	ENST00000445632	ENSG00000149201	CCDC81	coiled-coil domain containing 81	HGNC Symbol;Acc:26281	1
ENSP00000312624	ENST00000309889	ENSG00000173991	TCAP	titin-cap (telethonin)	HGNC Symbol;Acc:11610	1
ENSP00000416289	ENST00000448612	ENSG00000184465	WDR27	WD repeat domain 27	HGNC Symbol;Acc:21248	1
ENSP00000378138	ENST00000394642	ENSG00000006042	TMEM98	transmembrane protein 98	HGNC Symbol;Acc:24529	1
ENSP00000258648	ENST00000258648	ENSG00000136146	MED4	mediator complex subunit 4	HGNC Symbol;Acc:17903	1
ENSP00000325055	ENST00000323578	ENSG00000177830	CHID1	chitinase domain containing 1	HGNC Symbol;Acc:28474	1
ENSP00000229179	ENST00000229179	ENSG00000111581	NUP107	nucleoporin 107kDa	HGNC Symbol;Acc:29914	1
ENSP00000262607	ENST00000262607	ENSG00000093072	CECR1	cat eye syndrome chromosome region, candidate 1	HGNC Symbol;Acc:1839	1
ENSP00000259396	ENST00000259396	ENSG00000229314	ORM1	orosomucoid 1	HGNC Symbol;Acc:8498	1
ENSP00000394936	ENST00000431067	ENSG00000228278	ORM2	orosomucoid 2	HGNC Symbol;Acc:8499	1
ENSP00000378508	ENST00000395069	ENSG00000178401	DNAJC22	DnaJ (Hsp40) homolog, subfamily C, member 22	HGNC Symbol;Acc:25802	1
ENSP00000250101	ENST00000250101	ENSG00000129235	TXNDC17	thioredoxin domain containing 17	HGNC Symbol;Acc:28218	1
ENSP00000371835	ENST00000382398	ENSG00000125788	DEFB126	defensin, beta 126	HGNC Symbol;Acc:15900	1
ENSP00000358812	ENST00000369797	ENSG00000148843	PDCD11	programmed cell death 11	HGNC Symbol;Acc:13408	1
ENSP00000406061	ENST00000438666	ENSG00000133104	SPG20	spastic paraplegia 20 (Troyer syndrome)	HGNC Symbol;Acc:18514	1
ENSP00000358595	ENST00000369582	ENSG00000135346	CGA	glycoprotein hormones, alpha polypeptide	HGNC Symbol;Acc:1885	1
ENSP00000321706	ENST00000319004	ENSG00000179409	GEMIN4	gem (nuclear organelle) associated protein 4	HGNC Symbol;Acc:15717	1
ENSP00000329803	ENST00000327939	ENSG00000182223	ZAR1	zygote arrest 1	HGNC Symbol;Acc:20436	1
ENSP00000344616	ENST00000345108	ENSG00000189167	ZAR1L	zygote arrest 1-like	HGNC Symbol;Acc:37116	1
ENSP00000350098	ENST00000357500	ENSG00000167272	POP5	processing of precursor 5, ribonuclease P/MRP subunit (S. cerevisiae)	HGNC Symbol;Acc:17689	1
ENSP00000301328	ENST00000301328	ENSG00000167699	GLOD4	glyoxalase domain containing 4	HGNC Symbol;Acc:14111	1
ENSP00000264499	ENST00000264499	ENSG00000138686	BBS7	Bardet-Biedl syndrome 7	HGNC Symbol;Acc:18758	1
ENSP00000284240	ENST00000284240	ENSG00000154096	THY1	Thy-1 cell surface antigen	HGNC Symbol;Acc:11801	1
ENSP00000367564	ENST00000378313	ENSG00000188493	C19orf54	chromosome 19 open reading frame 54	HGNC Symbol;Acc:24758	1
ENSP00000264659	ENST00000264659	ENSG00000017373	SRCIN1	SRC kinase signaling inhibitor 1	HGNC Symbol;Acc:29506	1
ENSP00000254719	ENST00000254719	ENSG00000132383	RPA1	replication protein A1, 70kDa	HGNC Symbol;Acc:10289	1
ENSP00000366934	ENST00000377705	ENSG00000162408	NOL9	nucleolar protein 9	HGNC Symbol;Acc:26265	1
ENSP00000216367	ENST00000216367	ENSG00000100479	POLE2	polymerase (DNA directed), epsilon 2, accessory subunit	HGNC Symbol;Acc:9178	1
ENSP00000304903	ENST00000305596	ENSG00000169217	CD2BP2	CD2 (cytoplasmic tail) binding protein 2	HGNC Symbol;Acc:1656	1
ENSP00000365775	ENST00000376590	ENSG00000177000	MTHFR	methylenetetrahydrofolate reductase (NAD(P)H)	HGNC Symbol;Acc:7436	1
ENSP00000310303	ENST00000309765	ENSG00000173769	C3orf77	chromosome 3 open reading frame 77	HGNC Symbol;Acc:24746	1
ENSP00000439056	ENST00000203166	ENSG00000249115	HAUS5	HAUS augmin-like complex, subunit 5	HGNC Symbol;Acc:29130	1
ENSP00000299192	ENST00000299192	ENSG00000155393	HEATR3	HEAT repeat containing 3	HGNC Symbol;Acc:26087	1
ENSP00000331897	ENST00000330062	ENSG00000182054	IDH2	isocitrate dehydrogenase 2 (NADP+), mitochondrial	HGNC Symbol;Acc:5383	1
ENSP00000260985	ENST00000345146	ENSG00000138413	IDH1	isocitrate dehydrogenase 1 (NADP+), soluble	HGNC Symbol;Acc:5382	1
ENSP00000391596	ENST00000413459	ENSG00000162066	AMDHD2	amidohydrolase domain containing 2	HGNC Symbol;Acc:24262	1
ENSP00000194214	ENST00000194214	ENSG00000081870	HSPB11	heat shock protein family B (small), member 11	HGNC Symbol;Acc:25019	1
ENSP00000259938	ENST00000259938	ENSG00000137392	CLPS	colipase, pancreatic	HGNC Symbol;Acc:2085	1
